Name,Battery Energy,Availability,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Maker
Lucid Air Dream Edition P,118 kWh useable battery,Available since January 2022,270 km/h,645 km,183 Wh/km,820 km/h,All Wheel Drive,5,"€218,000",N/A,Lucid
Porsche Taycan Turbo S,83.7 kWh useable battery,Available since January 2020,260 km/h,400 km,209 Wh/km,980 km/h,All Wheel Drive,4,"€189,668","£142,400",Porsche
Audi e-tron GT RS,85 kWh useable battery,Available since March 2021,250 km/h,405 km,210 Wh/km,1000 km/h,All Wheel Drive,4,"€146,050","£115,000",Audi
Renault Zoe ZE50 R110,52 kWh useable battery,Available since November 2019,135 km/h,315 km,165 Wh/km,230 km/h,Front Wheel Drive,5,"€36,840",N/A,Renault
Audi Q4 e-tron 35,52 kWh useable battery,Available since June 2021,160 km/h,285 km,182 Wh/km,360 km/h,Rear Wheel Drive,5,N/A,N/A,Audi
Tesla Model Y Performance,75 kWh useable battery,Available since March 2022,250 km/h,415 km,181 Wh/km,640 km/h,All Wheel Drive,5,"€63,667","£59,990",Tesla
Porsche Taycan 4 Cross Turismo,83.7 kWh useable battery,Available since July 2021,220 km/h,425 km,197 Wh/km,1050 km/h,All Wheel Drive,4,"€98,514","£84,500",Porsche
Renault Zoe ZE50 R135,52 kWh useable battery,Available since November 2019,140 km/h,310 km,168 Wh/km,230 km/h,Front Wheel Drive,5,"€37,840","£29,995",Renault
Porsche Taycan Turbo,83.7 kWh useable battery,Available since January 2020,260 km/h,415 km,202 Wh/km,1020 km/h,All Wheel Drive,4,"€156,348","£119,900",Porsche
Smart EQ fortwo coupe,16.7 kWh useable battery,Available since January 2020,130 km/h,100 km,167 Wh/km,-,Rear Wheel Drive,2,"€21,940",N/A,Smart
Smart EQ fortwo cabrio,16.7 kWh useable battery,Available since January 2020,130 km/h,95 km,176 Wh/km,-,Rear Wheel Drive,2,"€25,200",N/A,Smart
Honda e Advance,28.5 kWh useable battery,Available since August 2020,145 km/h,170 km,168 Wh/km,180 km/h,Rear Wheel Drive,4,"€39,900","£36,920",Honda
Porsche Taycan 4S,71 kWh useable battery,Available since May 2020,250 km/h,395 km,180 Wh/km,970 km/h,All Wheel Drive,4,"€108,867","£86,500",Porsche
Porsche Taycan 4S Plus,83.7 kWh useable battery,Available since April 2020,250 km/h,460 km,182 Wh/km,1130 km/h,All Wheel Drive,4,"€114,389","£90,406",Porsche
Mercedes EQV 300 Long,90 kWh useable battery,Available since September 2020,160 km/h,305 km,295 Wh/km,310 km/h,Front Wheel Drive,7,"€71,626","£83,530",Mercedes
Lexus UX 300e,45 kWh useable battery,Available since November 2020,160 km/h,235 km,191 Wh/km,150 km/h,Front Wheel Drive,5,"€47,550",N/A,Lexus
BMW i4 eDrive40,80.7 kWh useable battery,Available since November 2021,190 km/h,470 km,172 Wh/km,730 km/h,Rear Wheel Drive,5,"€59,200","£57,890",BMW
Renault Twingo Electric,21.3 kWh useable battery,Available since November 2020,135 km/h,130 km,164 Wh/km,-,Rear Wheel Drive,4,"€28,000",N/A,Renault
Fiat 500e Cabrio 42 kWh,37.3 kWh useable battery,Available since November 2020,150 km/h,230 km,162 Wh/km,380 km/h,Front Wheel Drive,4,"€37,990","£33,645",Fiat
Skoda Enyaq iV 60,58 kWh useable battery,Available since April 2021,160 km/h,325 km,178 Wh/km,440 km/h,Rear Wheel Drive,5,N/A,"£38,970",Skoda
Skoda Enyaq iV 80,77 kWh useable battery,Available since April 2021,160 km/h,420 km,183 Wh/km,530 km/h,Rear Wheel Drive,5,"€48,900","£42,925",Skoda
Skoda Enyaq iV 80x,77 kWh useable battery,Available since June 2021,160 km/h,400 km,193 Wh/km,500 km/h,All Wheel Drive,5,N/A,"£51,765",Skoda
Skoda Enyaq iV RS,77 kWh useable battery,Available since October 2022,180 km/h,390 km,197 Wh/km,540 km/h,All Wheel Drive,5,"€63,300",N/A,Skoda
Fiat 500e Hatchback 42 kWh,37.3 kWh useable battery,Available since November 2020,150 km/h,235 km,159 Wh/km,390 km/h,Front Wheel Drive,4,"€34,990","£30,645",Fiat
Audi Q4 Sportback e-tron 35,52 kWh useable battery,Available since August 2021,160 km/h,295 km,176 Wh/km,370 km/h,Rear Wheel Drive,5,N/A,N/A,Audi
Nissan Ariya 63kWh,63 kWh useable battery,Available since July 2022,160 km/h,320 km,197 Wh/km,430 km/h,Front Wheel Drive,5,"€47,490","£46,145",Nissan
Nissan Ariya 87kWh,87 kWh useable battery,Available since July 2022,160 km/h,435 km,200 Wh/km,520 km/h,Front Wheel Drive,5,"€58,990","£51,895",Nissan
Nissan Ariya e-4ORCE 87kWh - 225 kW,87 kWh useable battery,Available since July 2022,200 km/h,420 km,207 Wh/km,500 km/h,All Wheel Drive,5,"€61,990","£54,595",Nissan
Nissan Ariya e-4ORCE 87kWh - 290 kW,87 kWh useable battery,Available since April 2023,200 km/h,420 km,207 Wh/km,500 km/h,All Wheel Drive,5,"€71,490",N/A,Nissan
Volkswagen ID.4 Pro Performance,77 kWh useable battery,Available since January 2021,160 km/h,410 km,188 Wh/km,520 km/h,Rear Wheel Drive,5,"€46,335","£46,035",Volkswagen
Mercedes EQV 300 Extra-Long,90 kWh useable battery,Available since October 2020,160 km/h,305 km,295 Wh/km,310 km/h,Front Wheel Drive,7,"€72,519",N/A,Mercedes
Lucid Air Grand Touring,112 kWh useable battery,Available since February 2023,270 km/h,665 km,168 Wh/km,840 km/h,All Wheel Drive,5,"€174,500",N/A,Lucid
Lucid Air Touring,88 kWh useable battery,Expected from June 2023,250 km/h,550 km,160 Wh/km,960 km/h,All Wheel Drive,5,"€120,000",N/A,Lucid
Lucid Air Pure,88 kWh useable battery,Expected from June 2023,200 km/h,560 km,157 Wh/km,980 km/h,Rear Wheel Drive,5,"€100,000",N/A,Lucid
Fiat 500e Hatchback 24 kWh,21.3 kWh useable battery,Available since November 2020,135 km/h,135 km,158 Wh/km,230 km/h,Front Wheel Drive,4,"€30,990",N/A,Fiat
Fiat 500e 3+1 42 kWh,37.3 kWh useable battery,Available since November 2020,150 km/h,235 km,159 Wh/km,390 km/h,Front Wheel Drive,4,"€36,990",N/A,Fiat
Mercedes EQC 400 4MATIC,80 kWh useable battery,Available since November 2020,180 km/h,370 km,216 Wh/km,440 km/h,All Wheel Drive,5,"€66,069","£72,335",Mercedes
Citroen e-SpaceTourer M 50 kWh,46.3 kWh useable battery,Available since November 2020,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,7,"€53,640","£47,495",Citroen
Citroen e-SpaceTourer XL 50 kWh,46.3 kWh useable battery,Available since November 2020,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€54,430","£48,335",Citroen
Citroen e-SpaceTourer M 75 kWh,68 kWh useable battery,Available since February 2021,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€59,640",N/A,Citroen
Citroen e-SpaceTourer XL 75 kWh,68 kWh useable battery,Available since February 2021,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€60,430",N/A,Citroen
Opel Zafira-e Life M 50 kWh,46.3 kWh useable battery,Available since November 2020,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,7,"€63,250","£50,630",Opel
Opel Zafira-e Life L 50 kWh,46.3 kWh useable battery,Available since November 2020,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€64,075","£50,990",Opel
Opel Zafira-e Life M 75 kWh,68 kWh useable battery,Available since February 2021,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€69,250",N/A,Opel
Opel Zafira-e Life L 75 kWh,68 kWh useable battery,Available since February 2021,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€70,075",N/A,Opel
Peugeot e-Traveller Standard 50 kWh,46.3 kWh useable battery,Available since November 2020,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,7,"€53,640","£49,100",Peugeot
Peugeot e-Traveller Long 50 kWh,46.3 kWh useable battery,Available since November 2020,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€54,430","£54,275",Peugeot
Peugeot e-Traveller Standard 75 kWh,68 kWh useable battery,Available since February 2021,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€59,640",N/A,Peugeot
Peugeot e-Traveller Long 75 kWh,68 kWh useable battery,Available since February 2021,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€60,430",N/A,Peugeot
Porsche Taycan ,71 kWh useable battery,Available since February 2021,230 km/h,410 km,173 Wh/km,1010 km/h,Rear Wheel Drive,4,"€88,399","£75,500",Porsche
Porsche Taycan Plus,83.7 kWh useable battery,Available since February 2021,230 km/h,475 km,176 Wh/km,1170 km/h,Rear Wheel Drive,4,"€94,123","£79,549",Porsche
Tesla Model S Dual Motor,95 kWh useable battery,Available since January 2023,250 km/h,570 km,167 Wh/km,790 km/h,All Wheel Drive,5,"€112,990","£100,000",Tesla
Tesla Model S Plaid,95 kWh useable battery,Available since November 2022,282 km/h,550 km,173 Wh/km,770 km/h,All Wheel Drive,5,"€137,990","£125,000",Tesla
Tesla Model X Dual Motor,95 kWh useable battery,Available since January 2023,250 km/h,470 km,202 Wh/km,650 km/h,All Wheel Drive,7,"€120,990","£108,000",Tesla
Tesla Model X Plaid,95 kWh useable battery,Available since November 2022,262 km/h,455 km,209 Wh/km,630 km/h,All Wheel Drive,7,"€140,990","£128,000",Tesla
Mini Cooper SE ,28.9 kWh useable battery,Available since March 2021,150 km/h,180 km,161 Wh/km,260 km/h,Front Wheel Drive,4,"€35,700","£29,000",Mini
JAC iEV7s ,39 kWh useable battery,Available since February 2021,132 km/h,225 km,173 Wh/km,160 km/h,Front Wheel Drive,5,N/A,N/A,JAC
Volkswagen ID.4 Pure Performance,52 kWh useable battery,Available since January 2021,160 km/h,285 km,182 Wh/km,360 km/h,Rear Wheel Drive,5,N/A,"£40,275",Volkswagen
Audi e-tron GT quattro,85 kWh useable battery,Available since March 2021,245 km/h,420 km,202 Wh/km,1030 km/h,All Wheel Drive,4,"€106,050","£84,000",Audi
Hyundai Kona Electric 39 kWh,39.2 kWh useable battery,Available since June 2021,155 km/h,250 km,157 Wh/km,220 km/h,Front Wheel Drive,5,"€36,400","£32,450",Hyundai
Hyundai Kona Electric 64 kWh,64 kWh useable battery,Available since June 2021,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5,"€42,900","£37,750",Hyundai
Porsche Taycan 4S Cross Turismo,83.7 kWh useable battery,Available since July 2021,240 km/h,425 km,197 Wh/km,1050 km/h,All Wheel Drive,4,"€114,222","£91,000",Porsche
Porsche Taycan Turbo Cross Turismo,83.7 kWh useable battery,Available since July 2021,250 km/h,400 km,209 Wh/km,980 km/h,All Wheel Drive,4,"€157,776","£120,900",Porsche
Porsche Taycan Turbo S Cross Turismo,83.7 kWh useable battery,Available since July 2021,250 km/h,385 km,217 Wh/km,950 km/h,All Wheel Drive,4,"€191,096","£143,400",Porsche
Kia EV6 GT,74 kWh useable battery,Available since April 2022,260 km/h,370 km,200 Wh/km,970 km/h,All Wheel Drive,5,"€72,990","£62,645",Kia
BMW iX xDrive40,71 kWh useable battery,Available since October 2021,200 km/h,360 km,197 Wh/km,480 km/h,All Wheel Drive,5,"€77,300","£69,905",BMW
BMW iX xDrive50,105.2 kWh useable battery,Available since November 2021,200 km/h,505 km,208 Wh/km,680 km/h,All Wheel Drive,5,"€100,100","£99,785",BMW
MG MG5 Electric Long Range,57.4 kWh useable battery,Available since March 2022,185 km/h,335 km,171 Wh/km,330 km/h,Front Wheel Drive,5,"€38,490","£30,995",MG
MG Marvel R Performance,65 kWh useable battery,Available since October 2021,200 km/h,330 km,197 Wh/km,390 km/h,All Wheel Drive,5,"€50,990",N/A,MG
Hyundai IONIQ 5 Standard Range 2WD,54 kWh useable battery,Available since July 2021,185 km/h,295 km,183 Wh/km,720 km/h,Rear Wheel Drive,5,"€43,900","£43,150",Hyundai
Kia EV6 Standard Range 2WD,54 kWh useable battery,Available since October 2021,185 km/h,305 km,177 Wh/km,750 km/h,Rear Wheel Drive,5,"€46,990",N/A,Kia
Kia EV6 Long Range 2WD,74 kWh useable battery,Available since October 2021,185 km/h,410 km,180 Wh/km,1070 km/h,Rear Wheel Drive,5,"€51,990","£45,245",Kia
Kia EV6 Long Range AWD,74 kWh useable battery,Available since October 2021,185 km/h,400 km,185 Wh/km,1050 km/h,All Wheel Drive,5,"€55,980","£51,745",Kia
Mercedes EQS 450+,107.8 kWh useable battery,Available since October 2021,210 km/h,640 km,168 Wh/km,960 km/h,Rear Wheel Drive,5,"€109,551","£105,610",Mercedes
Mercedes EQS 580 4MATIC,107.8 kWh useable battery,Available since October 2021,210 km/h,605 km,178 Wh/km,900 km/h,All Wheel Drive,5,"€141,705",N/A,Mercedes
Volkswagen ID.4 Pure,52 kWh useable battery,Available since February 2021,160 km/h,285 km,182 Wh/km,360 km/h,Rear Wheel Drive,5,N/A,"£38,845",Volkswagen
Audi Q4 e-tron 40,76.6 kWh useable battery,Available since June 2021,160 km/h,405 km,189 Wh/km,510 km/h,Rear Wheel Drive,5,"€51,900","£49,930",Audi
Audi Q4 e-tron 50 quattro,76.6 kWh useable battery,Available since July 2021,180 km/h,385 km,199 Wh/km,490 km/h,All Wheel Drive,5,"€57,900","£56,310",Audi
Audi Q4 Sportback e-tron 50 quattro,76.6 kWh useable battery,Available since August 2021,180 km/h,400 km,192 Wh/km,500 km/h,All Wheel Drive,5,"€59,900","£57,810",Audi
Mercedes EQB 350 4MATIC,66.5 kWh useable battery,Available since February 2022,160 km/h,335 km,199 Wh/km,480 km/h,All Wheel Drive,7,"€58,197","£56,810",Mercedes
Mercedes EQA 300 4MATIC,66.5 kWh useable battery,Available since May 2021,160 km/h,350 km,190 Wh/km,500 km/h,All Wheel Drive,5,"€53,746","£53,010",Mercedes
Mercedes EQA 350 4MATIC,66.5 kWh useable battery,Available since May 2021,160 km/h,350 km,190 Wh/km,500 km/h,All Wheel Drive,5,"€56,424","£54,510",Mercedes
Toyota PROACE Verso M 75 kWh,68 kWh useable battery,Available since October 2021,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€64,530",N/A,Toyota
Toyota PROACE Verso L 75 kWh,68 kWh useable battery,Available since October 2021,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€65,385",N/A,Toyota
CUPRA Born 150 kW - 58 kWh,58 kWh useable battery,Available since October 2021,160 km/h,350 km,166 Wh/km,470 km/h,Rear Wheel Drive,5,"€39,370","£36,475",CUPRA
CUPRA Born 170 kW - 58 kWh,58 kWh useable battery,Available since March 2022,160 km/h,345 km,168 Wh/km,460 km/h,Rear Wheel Drive,5,"€40,750","£39,205",CUPRA
CUPRA Born 170 kW - 77 kWh,77 kWh useable battery,Available since March 2022,160 km/h,450 km,171 Wh/km,570 km/h,Rear Wheel Drive,4,"€46,450","£41,975",CUPRA
BMW i4 M50,80.7 kWh useable battery,Available since November 2021,225 km/h,435 km,186 Wh/km,670 km/h,All Wheel Drive,5,"€70,800","£71,085",BMW
Renault Megane E-Tech EV60 220hp,60 kWh useable battery,Available since April 2022,160 km/h,360 km,167 Wh/km,500 km/h,Front Wheel Drive,5,"€46,600","£36,995",Renault
Peugeot e-Rifter Standard 50 kWh,46.3 kWh useable battery,Available since July 2021,135 km/h,205 km,226 Wh/km,330 km/h,Front Wheel Drive,7,"€41,240","£32,300",Peugeot
Peugeot e-Rifter Long 50 kWh,46.3 kWh useable battery,Available since July 2021,135 km/h,200 km,232 Wh/km,320 km/h,Front Wheel Drive,7,"€42,440","£34,300",Peugeot
MG Marvel R ,65 kWh useable battery,Available since October 2021,200 km/h,335 km,194 Wh/km,400 km/h,Rear Wheel Drive,5,"€46,990",N/A,MG
Audi Q4 e-tron 45 quattro,76.6 kWh useable battery,Available since August 2021,180 km/h,385 km,199 Wh/km,490 km/h,All Wheel Drive,5,"€53,990",N/A,Audi
Audi Q4 Sportback e-tron 40,76.6 kWh useable battery,Available since August 2021,160 km/h,425 km,180 Wh/km,540 km/h,Rear Wheel Drive,5,"€53,900","£51,430",Audi
BMW iX3 ,74 kWh useable battery,Available since September 2021,180 km/h,385 km,192 Wh/km,520 km/h,Rear Wheel Drive,5,"€67,300","£64,165",BMW
Renault Megane E-Tech EV40 130hp,40 kWh useable battery,Available since April 2022,150 km/h,250 km,160 Wh/km,360 km/h,Front Wheel Drive,5,"€42,000",N/A,Renault
Mercedes EQS AMG 53 4MATIC+,107.8 kWh useable battery,Available since February 2022,250 km/h,565 km,191 Wh/km,840 km/h,All Wheel Drive,5,"€155,009","£161,860",Mercedes
Mercedes EQE 350+,90.6 kWh useable battery,Available since April 2022,210 km/h,525 km,173 Wh/km,780 km/h,Rear Wheel Drive,5,N/A,N/A,Mercedes
MG ZS EV Standard Range,49 kWh useable battery,Available since November 2021,175 km/h,270 km,181 Wh/km,260 km/h,Front Wheel Drive,5,"€33,990","£29,495",MG
MG ZS EV Long Range,68.3 kWh useable battery,Available since November 2021,175 km/h,365 km,187 Wh/km,410 km/h,Front Wheel Drive,5,"€37,990","£31,995",MG
Mercedes EQV 250 Long,60 kWh useable battery,Available since October 2021,160 km/h,205 km,293 Wh/km,190 km/h,Front Wheel Drive,7,"€68,056",N/A,Mercedes
Mercedes EQV 250 Extra-Long,60 kWh useable battery,Available since October 2021,160 km/h,205 km,293 Wh/km,190 km/h,Front Wheel Drive,7,"€68,949",N/A,Mercedes
